medcodeid,alc_cnd,alc_weight
397431000006111,1,.55
397811000006119,1,.55
110629012,1,.55
295130013,1,.55
295254011,1,.55
294676016,1,.55
397801000006117,1,.55
295129015,1,.55
397201000006116,1,.55
476741000006111,1,.55
501294012,1,.55
294668018,1,.55
299081000000114,1,.55
294664016,1,.55
294672019,1,.55
397611000006115,1,.55
295127018,1,.55
295128011,1,.55
15243013,1,.55
294662017,1,.55
753331000006118,1,.55
295143013,1,.55
315091000000117,1,.55
401760017,1,.55
294669014,1,.55
295142015,1,.55
401797010,1,.55
295141010,1,.55
295139014,1,.55
295765017,1,.55
295253017,1,.55
295252010,1,.55
295251015,1,.55
295144019,1,.55
294674018,1,.55
397211000006118,1,.55
405461000000114,1,.55
397881000006114,1,.55
299061000000117,1,.55
397791000006118,1,.55
476361000006114,1,.55
295136019,1,.55
294673012,1,.55
294675017,1,.55
295132017,1,.55
294671014,1,.55
295131012,1,.55
397241000006119,1,.55
2474678017,1,.55
295255012,1,.55
397621000006111,1,.55
500478011,1,.55
460276013,1,.55
453265010,1,.55
362251000006117,1,.55
1975371000006110,1,.55
14103017,1,.55
1975141000006117,1,.55
1232941013,1,.55
353595019,1,.55
1974141000006118,1,.55
1972151000006110,1,.55
1909451000006116,1,.55
83834016,1,.55
117761000006116,1,.55
1973241000006113,1,.55
961571000006111,1,.55
852151000006117,1,.55
346501000006111,1,.55
2298341000000114,1,.55
251626014,1,.55
1975541000006111,1,.55
1975341000006119,1,.55
478046010,1,.55
8364771000006117,1,.55
1974301000006117,1,.55
303399018,1,.55
138527014,1,.55
1662551000006113,1,.55
295126010,1,.55
606991000000117,1,.55
1973441000006114,1,.55
362961000006112,1,.55
283559019,1,.55
1973321000006113,1,.55
1973701000006119,1,.55
461112017,1,.55
362941000006113,1,.55
1899461000006113,1,.55
882221000006114,1,.55
324488015,1,.55
1878791000006112,1,.55
1974021000006112,1,.55
362971000006117,1,.55
1975291000006117,1,.55
1976111000006110,1,.55
394681000006119,1,.55
1975181000006111,1,.55
362981000006119,1,.55
1660411000006112,1,.55
370961000006119,1,.55
480271000000113,1,.55
542611000006114,1,.55
500729017,1,.55
362211000006118,1,.55
1972271000006112,1,.55
346929012,1,.55
409423019,1,.55
6881361000006118,1,.55
1779661000006118,1,.55
106878015,1,.55
17390014,1,.55
1926131000006117,1,.55
882531000006110,1,.55
1974521000006117,1,.55
899411000006110,1,.55
1973411000006110,1,.55
1975461000006114,1,.55
831091000006115,1,.55
254306016,1,.55
2462911000000112,1,.55
356292013,1,.55
362951000006110,1,.55
1973481000006115,1,.55
236441000000113,1,.55
1975511000006112,1,.55
4525015,1,.55
283451018,1,.55
1975411000006111,1,.55
1973871000006116,1,.55
376461000006110,1,.55
1974071000006113,1,.55
769451000006111,1,.55
394691000006116,1,.55
1974111000006117,1,.55
476611000006116,1,.55
297011014,1,.55
3122331000006110,1,.55
753321000006116,1,.55
899431000006116,1,.55
1659811000006114,1,.55
226571000000116,1,.55
886501000006115,1,.55
1954461000006112,1,.55
1892141000006110,1,.55
991151000006114,1,.55
451124014,1,.55
324489011,1,.55
2716771000000111,1,.55
1976071000006119,1,.55
370971000006114,1,.55
2358251000000115,1,.55
12878014,1,.55
1894171000006111,1,.55
3890681000006118,1,.55
1975591000006119,1,.55
1974191000006110,1,.55
380031000006116,1,.55
970391000006118,1,.55
303456012,1,.55
353587018,1,.55
353594015,1,.55
1972161000006112,1,.55
970401000006116,1,.55
940781000006116,1,.55
2668926019,1,.55
970411000006118,1,.55
2796011000006111,1,.55
1975661000006111,1,.55
362931000006115,1,.55
1974231000006117,1,.55
476701000006114,1,.55
1973811000006113,1,.55
