medcodeid,anobul_cnd,anobul_weight
251631011,1,.34
4540011000006112,1,.34
12717671000006110,1,.34
317233013,1,.34
1222496015,1,.34
389311000006116,1,.34
527421000006116,1,.34
577901000006119,1,.34
3769021000006116,1,.34
368061000006113,1,.34
368051000006111,1,.34
366541000006118,1,.34
366521000006113,1,.34
94597012,1,.34
363321000006111,1,.34
3423851000006118,1,.34
3799281000006110,1,.34
734511000006115,1,.34
317235018,1,.34
3799261000006117,1,.34
3799271000006112,1,.34
317234019,1,.34
3799251000006119,1,.34
