medcodeid,chd_cnd,chd_weight
1218860015,1,.46
212081000006112,1,.46
967931000006114,1,.46
810811000006116,1,.46
810821000006112,1,.46
4031011,1,.46
32122016,1,.46
299712015,1,.46
299719012,1,.46
299742017,1,.46
931961000006117,1,.46
300874013,1,.46
299782012,1,.46
299783019,1,.46
299796018,1,.46
300881018,1,.46
299811016,1,.46
299812011,1,.46
813961000006116,1,.46
498031000006112,1,.46
158601000006116,1,.46
158611000006118,1,.46
159001000006119,1,.46
36036010,1,.46
219521000000119,1,.46
338974012,1,.46
350346019,1,.46
350348018,1,.46
350350014,1,.46
350354017,1,.46
299710011,1,.46
350376014,1,.46
67081000006119,1,.46
537751000006115,1,.46
494260016,1,.46
442204010,1,.46
447324018,1,.46
450322013,1,.46
451369010,1,.46
212061000006119,1,.46
212071000006114,1,.46
455422014,1,.46
458410010,1,.46
459487012,1,.46
459488019,1,.46
616081000006113,1,.46
459859010,1,.46
59952018,1,.46
543291000006110,1,.46
1488382011,1,.46
1786198013,1,.46
1738171000006114,1,.46
451132018,1,.46
1780491019,1,.46
1780501013,1,.46
2160096015,1,.46
300879015,1,.46
2534674015,1,.46
2537480011,1,.46
1229885017,1,.46
89332015,1,.46
72571000006115,1,.46
494438016,1,.46
299708014,1,.46
2536395017,1,.46
299707016,1,.46
299720018,1,.46
299711010,1,.46
98087016,1,.46
455651000006114,1,.46
457531000006110,1,.46
109916013,1,.46
1654891000000110,1,.46
1550991000000116,1,.46
455641000006112,1,.46
116992017,1,.46
2609111000000119,1,.46
299714019,1,.46
1234005010,1,.46
1234306015,1,.46
7966941000006116,1,.46
2115181000000110,1,.46
208365015,1,.46
455423016,1,.46
212091000006110,1,.46
4032016,1,.46
2619484018,1,.46
682481000006118,1,.46
299745015,1,.46
299758019,1,.46
299765010,1,.46
482941000006119,1,.46
299757012,1,.46
299813018,1,.46
300882013,1,.46
118831000006118,1,.46
299808017,1,.46
37443015,1,.46
1786197015,1,.46
230021000006115,1,.46
460686018,1,.46
1227364015,1,.46
299805019,1,.46
299800012,1,.46
299776014,1,.46
299804015,1,.46
2537483013,1,.46
299750014,1,.46
394541000006112,1,.46
299835014,1,.46
299723016,1,.46
299834013,1,.46
39111000006114,1,.46
300876010,1,.46
2534664018,1,.46
595731000006114,1,.46
2536393012,1,.46
299741012,1,.46
7847015,1,.46
494261017,1,.46
7844010,1,.46
7845011,1,.46
299709018,1,.46
884141000006116,1,.46
362461000006119,1,.46
219531000000117,1,.46
884151000006119,1,.46
94884017,1,.46
299721019,1,.46
460681000006116,1,.46
299718016,1,.46
482811000006113,1,.46
498328016,1,.46
299763015,1,.46
109915012,1,.46
7966931000006114,1,.46
7966951000006119,1,.46
