medcodeid,cld_cnd,cld_weight
557081000006110,1,.72
288170016,1,.72
288169017,1,.72
17930015,1,.72
21289010,1,.72
4407011000006114,1,.72
557071000006112,1,.72
477604016,1,.72
2753761000006112,1,.72
251929017,1,.72
4542661000006117,1,.72
1227540015,1,.72
460192013,1,.72
264367013,1,.72
1227539017,1,.72
1227541016,1,.72
4661751000006118,1,.72
4661761000006116,1,.72
376141000000113,1,.72
31211000006119,1,.72
822591000006117,1,.72
225661000006111,1,.72
4661781000006114,1,.72
4661791000006112,1,.72
500401000006116,1,.72
270232016,1,.72
2526451000006111,1,.72
2526461000006113,1,.72
303453016,1,.72
2526441000006114,1,.72
4044018,1,.72
1763641000006113,1,.72
2786001000006114,1,.72
270234015,1,.72
864291000006118,1,.72
864281000006116,1,.72
30458014,1,.72
270233014,1,.72
2786021000006116,1,.72
2786011000006112,1,.72
1834371000006115,1,.72
1850901000006115,1,.72
1854791000006116,1,.72
286879013,1,.72
294324014,1,.72
303376017,1,.72
886491000006111,1,.72
303392010,1,.72
303393017,1,.72
550431000006116,1,.72
303401012,1,.72
553311000006111,1,.72
4787151000006116,1,.72
303404016,1,.72
4787131000006111,1,.72
303414013,1,.72
303419015,1,.72
303420014,1,.72
303425016,1,.72
303433015,1,.72
4787221000006115,1,.72
226161000006113,1,.72
303435010,1,.72
303437019,1,.72
303439016,1,.72
303440019,1,.72
4787261000006114,1,.72
303452014,1,.72
303458013,1,.72
303466016,1,.72
303489012,1,.72
303512010,1,.72
303515012,1,.72
303516013,1,.72
303517016,1,.72
303518014,1,.72
303781011,1,.72
2816671000006112,1,.72
2816681000006110,1,.72
353613017,1,.72
316474016,1,.72
316477011,1,.72
316476019,1,.72
4837241000006117,1,.72
354081000000114,1,.72
352929018,1,.72
303490015,1,.72
314015017,1,.72
395261000006113,1,.72
5086481000006111,1,.72
303391015,1,.72
396394015,1,.72
303531016,1,.72
303783014,1,.72
5086511000006115,1,.72
5086501000006118,1,.72
740781000006110,1,.72
303779014,1,.72
303785019,1,.72
303532011,1,.72
303527010,1,.72
5086651000006118,1,.72
353580016,1,.72
5086991000006115,1,.72
353621011,1,.72
303441015,1,.72
5492481000006115,1,.72
211391000006118,1,.72
85961019,1,.72
5493041000006114,1,.72
5493051000006111,1,.72
221111000000114,1,.72
396393014,1,.72
396390012,1,.72
396391011,1,.72
396392016,1,.72
55851000006118,1,.72
5524681000006114,1,.72
293190013,1,.72
803961000006119,1,.72
803951000006116,1,.72
2976631000006113,1,.72
480671000006116,1,.72
2976621000006110,1,.72
49567015,1,.72
803941000006118,1,.72
803921000006113,1,.72
293191012,1,.72
303438012,1,.72
5899091000006111,1,.72
5930641000006119,1,.72
5930631000006112,1,.72
451442010,1,.72
5975531000006117,1,.72
5992721000006114,1,.72
453265010,1,.72
3010811000006111,1,.72
52980015,1,.72
3010831000006117,1,.72
303464018,1,.72
303465017,1,.72
555881000006114,1,.72
3059381000006110,1,.72
3059391000006113,1,.72
1786709019,1,.72
6617781000006110,1,.72
6617771000006112,1,.72
3165681000006118,1,.72
3165691000006115,1,.72
303399018,1,.72
6941931000006112,1,.72
6941941000006119,1,.72
303442010,1,.72
2579818016,1,.72
2576980018,1,.72
476611000006116,1,.72
6947471000006110,1,.72
6947461000006115,1,.72
363051000000111,1,.72
7084831000006116,1,.72
7084841000006114,1,.72
3206891000006112,1,.72
731231000006114,1,.72
3206901000006111,1,.72
493707012,1,.72
211821000006111,1,.72
3206871000006111,1,.72
886501000006115,1,.72
12721711000006110,1,.72
2598561000006116,1,.72
2598551000006118,1,.72
11267010,1,.72
3507191000006112,1,.72
1232261014,1,.72
3686241000006116,1,.72
314040012,1,.72
3686251000006119,1,.72
3686301000006114,1,.72
502290017,1,.72
581481000006118,1,.72
502288018,1,.72
3686231000006114,1,.72
3686321000006116,1,.72
3686271000006112,1,.72
502291018,1,.72
3686311000006112,1,.72
3713571000006114,1,.72
3713561000006119,1,.72
123999018,1,.72
126721013,1,.72
1736361000000112,1,.72
8242561000006112,1,.72
3796401000006114,1,.72
303456012,1,.72
1815011000006116,1,.72
3828211000006115,1,.72
504762019,1,.72
3828201000006118,1,.72
2156971000000110,1,.72
2221291000000111,1,.72
603321000006118,1,.72
906081000006114,1,.72
925431000006118,1,.72
1488891017,1,.72
