medcodeid,div_cnd,div_weight
15166017,1,-.02
893121000006113,1,-.02
303150013,1,-.02
303148017,1,-.02
303123015,1,-.02
11878561000006111,1,-.02
4786061000006115,1,-.02
11784311000006118,1,-.02
303124014,1,-.02
4786071000006110,1,-.02
303149013,1,-.02
11876451000006114,1,-.02
11876441000006112,1,-.02
353440011,1,-.02
5085371000006111,1,-.02
303146018,1,-.02
303145019,1,-.02
450775010,1,-.02
485644015,1,-.02
3044531000006116,1,-.02
3591791000006115,1,-.02
500628015,1,-.02
2845121000006119,1,-.02
1222658010,1,-.02
503419012,1,-.02
3751141000006117,1,-.02
303136015,1,-.02
11924441000006111,1,-.02
1786007012,1,-.02
1777478012,1,-.02
303135016,1,-.02
6594231000006117,1,-.02
886341000006110,1,-.02
853491000006110,1,-.02
906061000006116,1,-.02
857121000006111,1,-.02
303151012,1,-.02
303152017,1,-.02
6597001000006110,1,-.02
1786077011,1,-.02
11851211000006118,1,-.02
6597011000006113,1,-.02
303142016,1,-.02
303141011,1,-.02
303144015,1,-.02
303143014,1,-.02
303153010,1,-.02
303154016,1,-.02
2629551000006113,1,-.02
303128012,1,-.02
303127019,1,-.02
2629541000006111,1,-.02
303132018,1,-.02
11784321000006114,1,-.02
303131013,1,-.02
11878531000006119,1,-.02
11878551000006114,1,-.02
105596011,1,-.02
303159014,1,-.02
3533221000006117,1,-.02
11878541000006112,1,-.02
626561000006118,1,-.02
651641000006113,1,-.02
303157011,1,-.02
303156019,1,-.02
303147010,1,-.02
12452641000006118,1,-.02
11782171000006116,1,-.02
11904811000006119,1,-.02
626651000006119,1,-.02
626681000006110,1,-.02
11823181000006117,1,-.02
11823151000006113,1,-.02
11823171000006115,1,-.02
11823191000006119,1,-.02
11823161000006110,1,-.02
303134017,1,-.02
11851201000006116,1,-.02
626571000006113,1,-.02
11851191000006119,1,-.02
4786081000006113,1,-.02
303126011,1,-.02
851321000006115,1,-.02
