medcodeid,epi_sno,epi_weight
23819016,1,.85
297060016,1,.85
2550890017,1,.85
297266016,1,.85
297267013,1,.85
297282015,1,.85
297283013,1,.85
297284019,1,.85
297295013,1,.85
297296014,1,.85
297300010,1,.85
743461000006119,1,.85
297302019,1,.85
297311019,1,.85
297312014,1,.85
297314010,1,.85
297315011,1,.85
297325018,1,.85
736371000006112,1,.85
223811000000118,1,.85
301541000000116,1,.85
344986017,1,.85
245341000006117,1,.85
632721000000111,1,.85
345281011,1,.85
72751000006116,1,.85
345293019,1,.85
931711000006118,1,.85
345318014,1,.85
345321011,1,.85
345323014,1,.85
125721000006111,1,.85
345345010,1,.85
297321010,1,.85
399395015,1,.85
883061000006119,1,.85
450602015,1,.85
450603013,1,.85
453344019,1,.85
472410017,1,.85
477355017,1,.85
478024019,1,.85
932141000006111,1,.85
2474650018,1,.85
230321000006117,1,.85
297289012,1,.85
12602012,1,.85
2478828012,1,.85
148591000006114,1,.85
399408014,1,.85
148427014,1,.85
512000013,1,.85
10791000006116,1,.85
800721000006115,1,.85
297303012,1,.85
297313016,1,.85
245351000006115,1,.85
345225017,1,.85
245361000006118,1,.85
223781000000116,1,.85
345302015,1,.85
1173961000000112,1,.85
299337010,1,.85
23820010,1,.85
299345017,1,.85
297320011,1,.85
46970012,1,.85
46968015,1,.85
46972016,1,.85
46969011,1,.85
46971011,1,.85
103531000006110,1,.85
472411018,1,.85
2159274014,1,.85
883041000006118,1,.85
647301000006112,1,.85
297290015,1,.85
500033015,1,.85
897431000006113,1,.85
178739011,1,.85
297324019,1,.85
299336018,1,.85
299334015,1,.85
297330019,1,.85
