medcodeid,ibd_weight,ibd_cnd
303761010,.44,1
3047371000006115,.44,1
3047421000006110,.44,1
179501000006113,.44,1
3047431000006113,.44,1
3047411000006119,.44,1
3047391000006119,.44,1
1222351011,.44,1
302947018,.44,1
886291000006112,.44,1
3047381000006117,.44,1
56765016,.44,1
56770011,.44,1
3553391000006113,.44,1
3553381000006110,.44,1
302962016,.44,1
2579429013,.44,1
303762015,.44,1
107644019,.44,1
303051014,.44,1
572041000006116,.44,1
2722891000006117,.44,1
435370011,.44,1
302956014,.44,1
85931000006112,.44,1
41137017,.44,1
2891431000006118,.44,1
886281000006114,.44,1
585591000006118,.44,1
400051000006118,.44,1
411543016,.44,1
5574431000006111,.44,1
3316801000006112,.44,1
3316811000006110,.44,1
3316771000006110,.44,1
601031000006119,.44,1
3316751000006117,.44,1
3316791000006111,.44,1
179521000006115,.44,1
3316761000006115,.44,1
3346721000006116,.44,1
496249010,.44,1
3346711000006112,.44,1
3346671000006113,.44,1
3346691000006114,.44,1
3346681000006111,.44,1
3420861000006110,.44,1
3420881000006117,.44,1
179571000006119,.44,1
3420871000006115,.44,1
302941017,.44,1
3420891000006119,.44,1
3420851000006113,.44,1
303050010,.44,1
309833017,.44,1
4809351000006111,.44,1
303052019,.44,1
309743013,.44,1
309744019,.44,1
4808981000006112,.44,1
1495442018,.44,1
396357012,.44,1
2621161000006119,.44,1
2621151000006116,.44,1
2532953017,.44,1
3351351000006116,.44,1
3351321000006113,.44,1
496332018,.44,1
3351341000006118,.44,1
3351311000006117,.44,1
4785581000006112,.44,1
601091000006115,.44,1
302322010,.44,1
4784111000006112,.44,1
4784091000006115,.44,1
85891000006115,.44,1
2532959018,.44,1
353418019,.44,1
6853131000006115,.44,1
2532958014,.44,1
6853111000006114,.44,1
2532950019,.44,1
302940016,.44,1
3113541000006111,.44,1
302939018,.44,1
3113551000006113,.44,1
396361018,.44,1
302953018,.44,1
85901000006116,.44,1
309836013,.44,1
619781000006115,.44,1
396366011,.44,1
42550011,.44,1
2905881000006112,.44,1
1816481000006111,.44,1
2905891000006110,.44,1
415991000006119,.44,1
2872721013,.44,1
2338581000000110,.44,1
2269891000000116,.44,1
2269901000000115,.44,1
