medcodeid,ld_cnd,ld_weight
398201000006115,1,.47
25776014,1,.47
1221474011,1,.47
88351000006114,1,.47
88361000006111,1,.47
297751000006119,1,.47
239991000006111,1,.47
36300015,1,.47
88381000006118,1,.47
88271000006113,1,.47
1224941015,1,.47
787151000006113,1,.47
1780502018,1,.47
63898012,1,.47
146051000006113,1,.47
222121000000113,1,.47
968201000006114,1,.47
2548475019,1,.47
302051000000118,1,.47
1129781000000117,1,.47
636711000006113,1,.47
1231577014,1,.47
94131019,1,.47
398761000006113,1,.47
829441000006116,1,.47
1803731000006114,1,.47
424971000006111,1,.47
1233229018,1,.47
1694831000006112,1,.47
557191000000119,1,.47
2114791000000110,1,.47
1234038018,1,.47
667621000006119,1,.47
148214012,1,.47
8337561000006119,1,.47
1550041000000110,1,.47
1129811000000119,1,.47
1550051000000113,1,.47
395051000006119,1,.47
411791000006118,1,.47
430061000006113,1,.47
296592018,1,.47
151009017,1,.47
404861000006115,1,.47
295662012,1,.47
296586012,1,.47
398251000006116,1,.47
9881000006115,1,.47
430071000006118,1,.47
401902015,1,.47
430081000006115,1,.47
431231000006115,1,.47
295661017,1,.47
295664013,1,.47
398231000006111,1,.47
404851000006117,1,.47
53891000006113,1,.47
88371000006116,1,.47
315625018,1,.47
79051000006114,1,.47
1224880012,1,.47
378499012,1,.47
378494019,1,.47
378500015,1,.47
423491000006116,1,.47
423521000006119,1,.47
423511000006110,1,.47
423501000006112,1,.47
423481000006119,1,.47
423361000006118,1,.47
201751000006110,1,.47
1229637015,1,.47
63896011,1,.47
1229639017,1,.47
882791000006118,1,.47
426541000006119,1,.47
426591000006111,1,.47
426531000006112,1,.47
426521000006114,1,.47
296574014,1,.47
426611000006117,1,.47
893481000006117,1,.47
378493013,1,.47
628281000006114,1,.47
1224878018,1,.47
68472012,1,.47
2478440016,1,.47
1224879014,1,.47
378496017,1,.47
10374011,1,.47
700071000006118,1,.47
398781000006115,1,.47
882781000006116,1,.47
785941000006115,1,.47
398821000006114,1,.47
398811000006118,1,.47
398771000006118,1,.47
296565012,1,.47
108541018,1,.47
110901011,1,.47
600811000006111,1,.47
127638013,1,.47
1705901000006118,1,.47
127639017,1,.47
398651000006118,1,.47
215821000000119,1,.47
398391000006116,1,.47
398381000006119,1,.47
507246016,1,.47
386751000006111,1,.47
882771000006119,1,.47
296557014,1,.47
398411000006116,1,.47
398661000006116,1,.47
212921000006112,1,.47
212911000006116,1,.47
