medcodeid,pd_cnd,pd_weight
33622011,1,1.29
64875013,1,1.29
299314016,1,1.29
81719014,1,1.29
3293631000006118,1,1.29
3293651000006113,1,1.29
3293681000006117,1,1.29
3293661000006110,1,1.29
3293641000006111,1,1.29
3293611000006112,1,1.29
81717011,1,1.29
3293621000006116,1,1.29
3293671000006115,1,1.29
297037012,1,1.29
324220010,1,1.29
403067019,1,1.29
5509101000006115,1,1.29
402513014,1,1.29
402512016,1,1.29
402514015,1,1.29
4567791000006110,1,1.29
254944017,1,1.29
280121000006113,1,1.29
2841061014,1,1.29
7289421000006111,1,1.29
244311000006117,1,1.29
882961000006112,1,1.29
299312017,1,1.29
630491000006110,1,1.29
2566251000006117,1,1.29
909021000006117,1,1.29
1013211000006114,1,1.29
1013231000006115,1,1.29
8193781000006112,1,1.29
1148731000000112,1,1.29
2229391000000119,1,1.29
2269041000000116,1,1.29
2332271000000113,1,1.29
299323018,1,1.29
5005931000006110,1,1.29
5005921000006112,1,1.29
299321016,1,1.29
299313010,1,1.29
151951000006115,1,1.29
151961000006118,1,1.29
295688010,1,1.29
7043661000006117,1,1.29
7043651000006119,1,1.29
297043014,1,1.29
464821000006113,1,1.29
464801000006115,1,1.29
350631000006115,1,1.29
331018011,1,1.29
379341000006111,1,1.29
469811000006116,1,1.29
352491000006118,1,1.29
5780101000006114,1,1.29
331189014,1,1.29
351591000006113,1,1.29
363451000006114,1,1.29
356311000006117,1,1.29
331190017,1,1.29
357381000006110,1,1.29
5780091000006115,1,1.29
7115041000006112,1,1.29
350621000006118,1,1.29
363531000006115,1,1.29
465071000006115,1,1.29
351581000006110,1,1.29
1925611000006114,1,1.29
3028151000006111,1,1.29
3028161000006113,1,1.29
1891071000006112,1,1.29
636681000000117,1,1.29
905821000006112,1,1.29
1776901000006117,1,1.29
345121017,1,1.29
