medcodeid,strk_cnd,strk_weight
542261000006114,1,.77
503791000006114,1,.77
300276019,1,.77
746571000006116,1,.77
300312010,1,.77
300313017,1,.77
300321011,1,.77
300322016,1,.77
300362017,1,.77
300363010,1,.77
300364016,1,.77
524511000006116,1,.77
300366019,1,.77
300370010,1,.77
300371014,1,.77
542251000006112,1,.77
1222398015,1,.77
605501000006117,1,.77
122361000006113,1,.77
345639010,1,.77
299342019,1,.77
345655015,1,.77
345658018,1,.77
345675012,1,.77
989211000006119,1,.77
605481000006110,1,.77
451133011,1,.77
451134017,1,.77
163261000006119,1,.77
1212072018,1,.77
2474651019,1,.77
395780010,1,.77
495394013,1,.77
496232015,1,.77
118689010,1,.77
483988011,1,.77
502878012,1,.77
542831000006116,1,.77
503469016,1,.77
57341000006119,1,.77
1235534016,1,.77
524541000006117,1,.77
158118014,1,.77
370661000006114,1,.77
300943012,1,.77
370701000006118,1,.77
543141000006110,1,.77
122401000006115,1,.77
605491000006113,1,.77
405339016,1,.77
605461000006117,1,.77
989201000006117,1,.77
605471000006112,1,.77
300287010,1,.77
300939013,1,.77
744901000006114,1,.77
122371000006118,1,.77
300956017,1,.77
884421000006119,1,.77
748941000006115,1,.77
744921000006116,1,.77
411416011,1,.77
300941014,1,.77
218511000000117,1,.77
125470015,1,.77
130375018,1,.77
149347010,1,.77
345650013,1,.77
25897016,1,.77
67501000006115,1,.77
300344014,1,.77
300345010,1,.77
300352012,1,.77
300353019,1,.77
345684012,1,.77
988951000006117,1,.77
2476647018,1,.77
106392017,1,.77
1667741000000110,1,.77
416991000006112,1,.77
95931000006111,1,.77
395783012,1,.77
395788015,1,.77
300349016,1,.77
300348012,1,.77
58046010,1,.77
106394016,1,.77
499739014,1,.77
67511000006117,1,.77
